Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=1, cy_scale=1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, inp_mean=0, inp_std=1, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionT=0.0, pool_method='avg', quant_actMVM=0, quant_actNM=0, quant_inp=0, quant_w=0, sample_rate=16000, silence_percentage=0.1, std_scale=1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
6b16487a-2507-4e6c-a9e7-8357964dd23c
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5609      0.1400     0.1769     6.8234
00100     2.4962      0.0900     0.1769     15.7962
00200     2.6253      0.0700     0.1769     17.3802
00300     2.5902      0.0800     0.1769     16.9458
00400     2.6381      0.0700     0.1769     17.2197
00500     2.5900      0.0700     0.1769     17.2567
00600     2.6527      0.0800     0.1769     17.5935
00700     2.5437      0.1200     0.1769     18.1759
00800     2.4553      0.1200     0.1769     17.3056
00900     2.5147      0.2000     0.1769     18.9721
01000     2.5688      0.1100     0.1769     18.0645
01100     2.5354      0.1000     0.1769     17.4192
01200     2.4760      0.1000     0.1769     17.9866
01300     2.5681      0.1000     0.1769     17.9053
01400     2.4654      0.1300     0.1769     16.8280
01500     2.4765      0.1300     0.1769     16.5821
01600     2.5130      0.1400     0.1778     16.4980
01700     2.4412      0.1900     0.1804     17.4153
01800     2.5186      0.0900     0.1815     17.0924
01900     2.4977      0.1000     0.1815     17.6276
02000     2.4594      0.1200     0.1815     17.6950
02100     2.5035      0.1300     0.1818     18.2536
02200     2.4116      0.1700     0.1824     17.9388
02300     2.4398      0.1300     0.1878     17.6432
02400     2.5289      0.1400     0.1955     17.7772
02500     2.4706      0.1100     0.1955     16.9616
02600     2.5161      0.1100     0.1955     18.9331
02700     2.5041      0.1100     0.1955     18.4814
02800     2.3769      0.2200     0.1955     17.5683
02900     2.4842      0.1100     0.1955     17.6701
03000     2.5058      0.1000     0.1955     17.8253
03100     2.4882      0.1500     0.1955     16.8145
03200     2.4385      0.1700     0.1955     17.1756
03300     2.4762      0.1700     0.1955     17.9752
03400     2.4126      0.2000     0.1955     17.9824
03500     2.4570      0.1300     0.1955     16.1542
03600     2.4640      0.1700     0.1955     16.3284
03700     2.4492      0.1200     0.1955     15.2784
03800     2.4568      0.1700     0.1955     15.8736
03900     2.4134      0.2000     0.1955     16.2504
04000     2.4794      0.1400     0.1955     16.1237
04100     2.4415      0.1600     0.1955     16.5527
04200     2.5271      0.1000     0.1955     15.9524
04300     2.4330      0.2500     0.1955     16.5402
04400     2.4451      0.1700     0.1969     18.7041
04500     2.4731      0.1200     0.2009     16.6720
04600     2.4499      0.1700     0.2009     16.0832
04700     2.4817      0.0900     0.2066     16.4435
04800     2.4811      0.1300     0.2066     16.0981
04900     2.4385      0.1700     0.2066     16.8087
05000     2.4351      0.1800     0.2066     17.0147
05100     2.4517      0.1200     0.2066     17.4598
05200     2.4620      0.1600     0.2066     17.1702
05300     2.3980      0.2000     0.2066     16.4212
05400     2.4457      0.1400     0.2066     16.0110
05500     2.4254      0.2000     0.2066     17.1564
05600     2.4336      0.1900     0.2066     18.3359
05700     2.4575      0.1600     0.2066     17.7956
05800     2.4246      0.1900     0.2066     18.0733
05900     2.3856      0.2400     0.2099     17.1220
06000     2.4353      0.1300     0.2173     16.9756
06100     2.3601      0.1800     0.2173     18.2138
06200     2.3574      0.2700     0.2173     18.2138
06300     2.4159      0.2200     0.2173     17.0545
06400     2.3760      0.1900     0.2173     17.4338
06500     2.4294      0.1200     0.2173     17.2582
06600     2.3857      0.1800     0.2173     17.2204
06700     2.4400      0.1800     0.2173     17.7501
06800     2.4247      0.1400     0.2173     17.6164
06900     2.3673      0.2500     0.2173     17.3409
07000     2.3762      0.1700     0.2173     17.0775
07100     2.4579      0.1800     0.2173     17.6542
07200     2.4470      0.1000     0.2173     17.7052
07300     2.3483      0.1900     0.2173     18.1005
07400     2.4234      0.1500     0.2173     17.4677
07500     2.4051      0.1600     0.2173     17.3958
07600     2.4047      0.1600     0.2266     17.2824
07700     2.4171      0.1400     0.2266     17.3497
07800     2.4330      0.1000     0.2266     18.0515
07900     2.3833      0.2100     0.2266     18.4519
08000     2.4127      0.1400     0.2266     17.2781
08100     2.4337      0.1100     0.2266     18.0505
08200     2.4242      0.1300     0.2280     18.4352
08300     2.5180      0.1000     0.2280     17.7022
08400     2.4064      0.2100     0.2280     17.1782
08500     2.4410      0.1800     0.2289     18.1898
08600     2.4663      0.1200     0.2289     17.6870
08700     2.3692      0.1800     0.2289     17.9978
08800     2.3321      0.1700     0.2289     17.5022
08900     2.4104      0.1800     0.2289     17.3720
09000     2.3713      0.2000     0.2289     17.4086
09100     2.3849      0.1900     0.2289     17.2113
09200     2.3890      0.2400     0.2289     18.1680
09300     2.3914      0.2100     0.2289     18.0559
09400     2.3490      0.2100     0.2289     17.6361
