Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=1.0, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=6, quant_inp=6, quant_w=6, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
2909c92e-c273-4bd3-a5c6-9e615ddd060b
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.2722      0.0675     0.0826     13.9479
00100     1.7980      0.4156     0.0918     83.6048
00200     1.2904      0.5759     0.1035     80.7093
00300     0.9419      0.6688     0.1035     78.1277
00400     0.7235      0.7468     0.1044     77.6157
00500     0.8177      0.7215     0.1044     76.6891
00600     0.7268      0.7679     0.1044     77.1311
00700     0.6371      0.7532     0.1044     76.5483
00800     0.5956      0.8143     0.1073     76.8393
00900     0.5593      0.7954     0.1073     76.7280
01000     0.5367      0.8418     0.1073     75.6340
01100     0.5825      0.8017     0.1081     76.7124
01200     0.5301      0.8186     0.1081     76.5100
01300     0.4861      0.8376     0.1081     76.3885
01400     0.4437      0.8354     0.1081     76.1977
01500     0.4533      0.8376     0.1081     75.4094
01600     0.3919      0.8565     0.1081     75.6020
01700     0.4562      0.8460     0.1081     75.7690
01800     0.4294      0.8713     0.1139     75.6502
01900     0.4180      0.8608     0.1139     76.2902
02000     0.3933      0.8755     0.1139     76.0877
02100     0.4850      0.8312     0.1139     75.4849
02200     0.4050      0.8713     0.1139     76.1424
02300     0.3840      0.8776     0.1139     76.3835
02400     0.3911      0.8650     0.1225     77.1455
02500     0.4153      0.8755     0.1225     76.3249
02600     0.3173      0.8861     0.1225     76.7028
02700     0.3315      0.8987     0.1225     76.7867
02800     0.3607      0.8861     0.1225     75.9859
02900     0.3519      0.8755     0.1225     76.5063
03000     0.3153      0.8797     0.1225     76.5390
03100     0.3369      0.8882     0.1225     76.7771
03200     0.3923      0.8713     0.1225     76.5146
03300     0.2930      0.8987     0.1225     76.6742
03400     0.3107      0.8734     0.1225     75.7238
03500     0.3033      0.9030     0.1225     76.7874
03600     0.3444      0.8945     0.1225     75.7827
03700     0.3217      0.8966     0.1225     76.1123
03800     0.3851      0.8776     0.1245     76.0363
03900     0.3190      0.9072     0.1245     76.0778
04000     0.2462      0.9198     0.1245     76.6516
