Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.0, noise_injectionT=0.0, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
1feb5bf6-2a49-4280-888f-b533f5d29ecd
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.4456      0.0400     0.0746     17.0768   0.4331
00100     2.0835      0.3500     0.3632     66.5447   0.2706
00200     1.5323      0.5000     0.4841     67.7000   0.1574
00300     1.6192      0.5100     0.5670     67.8164   0.0907
00400     1.2226      0.5600     0.6457     67.6920   0.0505
00500     1.3937      0.5400     0.6857     67.6283   0.0232
00600     1.1392      0.6200     0.7172     68.9816   0.0034
00700     0.8428      0.7100     0.7183     69.8872   0.0001
00800     0.7608      0.7500     0.7255     69.2899   0.0000
00900     1.0125      0.6300     0.7455     69.1811   0.0000
01000     1.0981      0.6000     0.7585     67.8777   0.0000
01100     1.0358      0.7000     0.7526     69.4094   0.0000
01200     0.9331      0.7200     0.7594     69.6884   0.0000
01300     0.8620      0.7400     0.7440     71.2180   0.0000
01400     0.7065      0.7900     0.7708     72.5146   0.0000
01500     0.8099      0.7400     0.7659     68.5327   0.0000
01600     0.7309      0.7700     0.7885     69.8649   0.0000
01700     0.9070      0.6400     0.7797     69.7257   0.0000
01800     0.9999      0.6300     0.7944     71.2305   0.0000
01900     0.9988      0.6900     0.7745     72.6276   0.0000
02000     0.9928      0.6900     0.8037     72.7510   0.0000
02100     0.8399      0.7400     0.8011     73.2753   0.0000
02200     0.8641      0.6800     0.7939     73.5933   0.0000
02300     0.7795      0.8100     0.8122     73.5867   0.0001
02400     0.7505      0.7800     0.8029     73.5747   0.0000
02500     0.7806      0.7200     0.7997     73.3172   0.0000
02600     0.8226      0.6800     0.8043     73.9962   0.0000
02700     0.7367      0.7500     0.8081     73.1468   0.0000
02800     0.6696      0.7900     0.8035     74.0799   0.0000
02900     0.8474      0.7100     0.8118     72.7087   0.0000
03000     0.6560      0.8200     0.8071     73.7387   0.0000
03100     0.7626      0.7700     0.8138     73.8943   0.0000
03200     0.8512      0.7000     0.8151     72.9427   0.0000
03300     0.8665      0.7400     0.8191     73.6215   0.0000
