Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.25, noise_injectionT=0.25, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
4a6b1c4b-c9e1-4c87-8d89-f269c481c227
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0766     18.5913   0.4322
00100     2.0219      0.3000     0.1637     68.8284   0.2684
00200     1.7659      0.4700     0.2286     72.8471   0.1575
00300     1.3122      0.5700     0.2726     65.8063   0.0923
00400     1.3246      0.5700     0.3215     68.2638   0.0510
00500     0.9232      0.6900     0.3769     67.9547   0.0228
00600     0.9690      0.7200     0.3706     71.1620   0.0021
00700     0.9786      0.7100     0.3995     70.0604   0.0000
00800     0.8860      0.7300     0.4450     67.4867   0.0000
00900     0.7883      0.7700     0.4109     67.0444   0.0000
01000     0.9545      0.7100     0.4646     70.9893   0.0000
01100     0.8838      0.6600     0.4378     67.1795   0.0000
01200     0.9678      0.6700     0.4719     71.6865   0.0000
01300     0.8210      0.7500     0.4905     69.4164   0.0000
01400     0.7779      0.7400     0.4344     66.8641   0.0000
01500     0.9068      0.7000     0.4531     67.8308   0.0000
01600     0.6894      0.7600     0.4847     66.5710   0.0000
01700     1.1811      0.6100     0.5021     67.0792   0.0000
01800     0.8005      0.7000     0.5399     67.8278   0.0000
01900     1.1067      0.6200     0.4979     71.1408   0.0000
02000     0.8082      0.7200     0.5192     67.9296   0.0000
02100     0.9987      0.7000     0.5124     73.5293   0.0000
02200     1.1555      0.6300     0.5040     72.1959   0.0000
02300     0.7406      0.7800     0.5367     68.8823   0.0000
02400     0.7738      0.7300     0.5350     67.8217   0.0000
02500     0.8751      0.7000     0.5579     68.2297   0.0000
02600     0.8235      0.7300     0.5576     69.1792   0.0000
02700     0.7619      0.7100     0.5647     70.8883   0.0000
02800     0.8112      0.7100     0.5251     67.6928   0.0000
02900     0.9509      0.6900     0.5226     73.4826   0.0000
03000     0.7429      0.7700     0.5531     68.0180   0.0000
03100     0.9100      0.7200     0.5895     69.5538   0.0000
03200     0.7929      0.7500     0.6082     68.9625   0.0000
03300     0.6542      0.7600     0.5739     66.3465   0.0000
03400     0.7900      0.7900     0.5632     73.9764   0.0000
03500     0.7188      0.7400     0.6040     70.5960   0.0000
03600     0.8243      0.7400     0.6037     70.8716   0.0000
03700     0.7888      0.7400     0.5509     68.8108   0.0000
03800     0.8228      0.7100     0.5927     71.6613   0.0000
03900     0.7176      0.7900     0.5783     71.5016   0.0000
04000     0.7569      0.7300     0.6104     68.7987   0.0000
04100     0.6072      0.8500     0.5653     70.4857   0.0000
04200     0.8897      0.7200     0.5769     68.0063   0.0000
04300     0.6192      0.8400     0.5814     70.9800   0.0000
04400     0.5989      0.8000     0.5739     72.0355   0.0000
04500     0.6013      0.7800     0.5585     73.5444   0.0000
04600     0.8809      0.7300     0.5535     67.8798   0.0000
04700     0.7907      0.7700     0.5928     68.9224   0.0000
04800     0.6666      0.7800     0.5845     70.1762   0.0000
04900     0.7157      0.7600     0.5921     68.9560   0.0000
05000     0.6955      0.8000     0.5975     67.5856   0.0000
05100     0.7137      0.7800     0.5920     67.3253   0.0000
05200     0.7583      0.7500     0.6016     69.7934   0.0000
05300     0.8155      0.7500     0.5991     67.8611   0.0000
05400     0.5010      0.8100     0.6090     67.3432   0.0000
05500     0.6531      0.7900     0.5950     69.5924   0.0000
05600     0.7048      0.7300     0.5910     70.6233   0.0000
05700     0.5232      0.8700     0.6004     72.0147   0.0000
05800     0.7201      0.8100     0.5678     69.4975   0.0000
05900     0.6417      0.8000     0.6033     69.8086   0.0000
06000     0.7200      0.7900     0.5839     71.8248   0.0000
06100     0.5919      0.8400     0.5974     74.4518   0.0000
06200     0.6932      0.7800     0.6165     72.0778   0.0000
06300     0.5362      0.8000     0.6335     66.9049   0.0000
06400     0.7351      0.7500     0.5999     67.2211   0.0000
06500     0.6765      0.8000     0.6659     71.6949   0.0000
06600     0.8961      0.7300     0.6473     72.9826   0.0000
06700     0.6106      0.8000     0.6295     72.1288   0.0000
06800     0.6867      0.7400     0.6583     67.7295   0.0000
06900     0.6011      0.8300     0.6227     71.4596   0.0000
07000     0.5723      0.8300     0.6010     67.8484   0.0000
07100     0.8744      0.7800     0.6259     66.7335   0.0000
07200     0.6407      0.8400     0.6135     70.2068   0.0000
07300     0.6527      0.8100     0.6166     70.6477   0.0000
