Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.25, noise_injectionT=0.25, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
293b5114-e298-4ee2-9879-7ea9dd63020d
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0766     16.1579   0.4322
00100     2.0219      0.3000     0.1637     70.2186   0.2684
00200     1.7659      0.4700     0.2286     65.5241   0.1575
00300     1.3122      0.5700     0.2726     64.6572   0.0923
00400     1.3246      0.5700     0.3215     65.3549   0.0510
00500     0.9232      0.6900     0.3769     65.7809   0.0228
00600     0.9690      0.7200     0.3706     67.1325   0.0021
00700     0.9786      0.7100     0.3995     68.4209   0.0000
00800     0.8860      0.7300     0.4450     69.7747   0.0000
00900     0.7883      0.7700     0.4109     67.2736   0.0000
01000     0.9545      0.7100     0.4646     68.4108   0.0000
01100     0.8838      0.6600     0.4378     70.2735   0.0000
01200     0.9678      0.6700     0.4719     64.5923   0.0000
01300     0.8210      0.7500     0.4905     66.9878   0.0000
01400     0.7779      0.7400     0.4344     68.8347   0.0000
01500     0.9068      0.7000     0.4531     67.1955   0.0000
01600     0.6894      0.7600     0.4847     69.5556   0.0000
01700     1.1811      0.6100     0.5021     68.8997   0.0000
01800     0.8005      0.7000     0.5399     68.8118   0.0000
01900     1.1067      0.6200     0.4979     71.7381   0.0000
02000     0.8082      0.7200     0.5192     69.8503   0.0000
02100     0.9987      0.7000     0.5124     67.0459   0.0000
02200     1.1555      0.6300     0.5040     70.0690   0.0000
02300     0.7406      0.7800     0.5367     70.1107   0.0000
02400     0.7738      0.7300     0.5350     66.4412   0.0000
02500     0.8751      0.7000     0.5579     70.7468   0.0000
02600     0.8235      0.7300     0.5576     66.8339   0.0000
02700     0.7619      0.7100     0.5647     65.3509   0.0000
02800     0.8112      0.7100     0.5251     65.0259   0.0000
02900     0.9509      0.6900     0.5226     68.8181   0.0000
03000     0.7429      0.7700     0.5531     69.5243   0.0000
03100     0.9100      0.7200     0.5895     70.6697   0.0000
03200     0.7929      0.7500     0.6082     72.5068   0.0000
03300     0.6542      0.7600     0.5739     66.2388   0.0000
03400     0.7900      0.7900     0.5632     65.1483   0.0000
03500     0.7188      0.7400     0.6040     68.4924   0.0000
03600     0.8243      0.7400     0.6037     67.4793   0.0000
03700     0.7888      0.7400     0.5509     67.6670   0.0000
03800     0.8228      0.7100     0.5927     71.2084   0.0000
03900     0.7176      0.7900     0.5783     70.1424   0.0000
04000     0.7569      0.7300     0.6104     67.0302   0.0000
04100     0.6072      0.8500     0.5653     70.2882   0.0000
04200     0.8897      0.7200     0.5769     65.6632   0.0000
