Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.15, noise_injectionT=0.15, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
5094a218-9446-4bae-a8e3-d80f137496ab
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.4456      0.0400     0.0809     18.4916   0.4331
00100     2.0822      0.2800     0.2735     70.3557   0.2706
00200     1.5875      0.4800     0.3893     71.0676   0.1571
00300     1.4814      0.5700     0.5043     72.0203   0.0907
00400     1.2228      0.5700     0.5631     72.6991   0.0502
00500     1.4307      0.5500     0.6364     73.3969   0.0230
00600     1.0866      0.6200     0.6374     73.5386   0.0027
00700     0.8784      0.7500     0.6689     73.9498   0.0000
00800     0.8247      0.7600     0.6582     72.0469   0.0000
00900     0.9621      0.6600     0.6811     72.8490   0.0000
01000     1.0969      0.6300     0.6867     69.0945   0.0000
01100     0.9994      0.6900     0.6522     70.7885   0.0000
01200     0.9003      0.7400     0.6771     71.1032   0.0000
01300     0.8036      0.7300     0.6961     68.3207   0.0000
01400     0.7074      0.7500     0.6871     72.1606   0.0000
01500     0.8300      0.6900     0.7089     72.2998   0.0000
01600     0.6970      0.7900     0.6658     72.6594   0.0000
01700     0.9081      0.7300     0.7068     73.0584   0.0000
01800     0.8792      0.6900     0.7476     71.0295   0.0000
01900     0.9805      0.7000     0.7269     71.5764   0.0000
02000     0.8195      0.7400     0.7544     71.3536   0.0001
