Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.2, noise_injectionT=0.2, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
1dd81970-d0dd-47aa-9679-735b7e055fc9
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0763     16.5382   0.4322
00100     2.0219      0.3000     0.1934     68.0301   0.2684
00200     1.7659      0.4700     0.2922     68.0183   0.1575
00300     1.3122      0.5700     0.3840     68.0290   0.0923
00400     1.3246      0.5700     0.4321     68.5090   0.0510
00500     0.9232      0.6900     0.4863     67.7975   0.0228
00600     0.9690      0.7200     0.4798     67.6957   0.0021
00700     0.9786      0.7100     0.5200     68.8143   0.0000
00800     0.8860      0.7300     0.5678     68.0867   0.0000
00900     0.7883      0.7700     0.5471     68.6867   0.0000
01000     0.9545      0.7100     0.5942     70.0384   0.0000
01100     0.8838      0.6600     0.5467     68.1924   0.0000
01200     0.9678      0.6700     0.5757     68.5662   0.0000
01300     0.8210      0.7500     0.6014     68.0644   0.0000
01400     0.7779      0.7400     0.5538     69.1185   0.0000
01500     0.9068      0.7000     0.5926     68.0729   0.0000
01600     0.6894      0.7600     0.5853     68.6583   0.0000
01700     1.1811      0.6100     0.6210     69.0091   0.0000
01800     0.8005      0.7000     0.6627     69.3142   0.0000
01900     1.1067      0.6200     0.6261     70.4261   0.0000
02000     0.8082      0.7200     0.6260     69.5612   0.0000
02100     0.9987      0.7000     0.6099     69.3295   0.0000
02200     1.1555      0.6300     0.5884     69.7050   0.0000
02300     0.7406      0.7800     0.6394     69.6709   0.0000
02400     0.7738      0.7300     0.6285     68.4087   0.0000
02500     0.8751      0.7000     0.6679     69.8499   0.0000
02600     0.8235      0.7300     0.6540     68.5016   0.0000
02700     0.7619      0.7100     0.6653     68.2165   0.0000
02800     0.8112      0.7100     0.6354     68.0583   0.0000
02900     0.9509      0.6900     0.6167     68.7176   0.0000
03000     0.7429      0.7700     0.6346     69.8003   0.0000
03100     0.9100      0.7200     0.6766     69.6417   0.0000
03200     0.7929      0.7500     0.6745     70.0053   0.0000
03300     0.6542      0.7600     0.6791     69.9103   0.0000
03400     0.7900      0.7900     0.6395     69.1190   0.0000
03500     0.7188      0.7400     0.6963     68.6564   0.0000
03600     0.8243      0.7400     0.6895     69.6048   0.0000
03700     0.7888      0.7400     0.6245     69.2309   0.0000
03800     0.8228      0.7100     0.6769     70.1901   0.0000
03900     0.7176      0.7900     0.6490     70.0637   0.0000
04000     0.7569      0.7300     0.6918     69.3076   0.0000
04100     0.6072      0.8500     0.6541     69.1433   0.0000
04200     0.8897      0.7200     0.6734     68.8153   0.0000
04300     0.6192      0.8400     0.6716     70.1388   0.0000
04400     0.6306      0.7900     0.6500     69.6701   0.0000
04500     0.5943      0.8100     0.6221     69.3182   0.0000
04600     0.8616      0.7000     0.6766     69.9091   0.0000
04700     0.7691      0.7700     0.6984     68.6567   0.0000
04800     0.7120      0.7800     0.7020     70.5489   0.0000
04900     0.6645      0.8000     0.6599     69.1208   0.0000
05000     0.8077      0.7600     0.6832     69.2629   0.0000
05100     0.7663      0.7700     0.6783     69.0779   0.0000
05200     0.7466      0.7700     0.6694     69.1099   0.0000
05300     0.7583      0.7400     0.6764     68.9526   0.0000
05400     0.4795      0.8300     0.7219     69.1790   0.0000
05500     0.6901      0.7900     0.6618     69.2615   0.0000
05600     0.7654      0.7800     0.6582     69.1761   0.0000
05700     0.5688      0.8100     0.6686     69.1525   0.0000
05800     0.7796      0.8000     0.6601     69.3385   0.0000
05900     0.6774      0.7700     0.6845     68.5910   0.0001
06000     0.7268      0.7500     0.6896     67.9090   0.0000
06100     0.6204      0.7900     0.6784     69.5162   0.0000
06200     0.7284      0.7900     0.6778     69.8223   0.0000
06300     0.5108      0.8300     0.6971     69.2555   0.0000
06400     0.6930      0.7700     0.6620     69.2820   0.0000
06500     0.7363      0.7600     0.6971     68.6687   0.0000
06600     0.9983      0.7400     0.6833     68.8807   0.0000
06700     0.5533      0.8300     0.7205     68.9970   0.0000
06800     0.7293      0.7400     0.6971     69.5081   0.0000
06900     0.5188      0.8900     0.6870     69.6315   0.0000
07000     0.5794      0.8100     0.6816     68.9554   0.0000
07100     0.8408      0.7500     0.6632     69.4490   0.0000
07200     0.6488      0.8300     0.6707     68.3344   0.0000
07300     0.5437      0.8300     0.6670     68.4811   0.0000
07400     0.5315      0.8100     0.6891     68.8550   0.0000
07500     0.5361      0.8100     0.7470     69.2174   0.0000
07600     0.7640      0.7600     0.6757     68.4724   0.0000
07700     0.6854      0.7900     0.7012     68.1184   0.0000
07800     0.6523      0.8100     0.6922     69.3128   0.0000
07900     0.5479      0.8000     0.6953     69.2248   0.0000
08000     0.7347      0.7500     0.6928     69.6343   0.0000
08100     0.4942      0.8600     0.6841     68.5510   0.0000
08200     0.4703      0.8500     0.6839     68.9624   0.0000
08300     0.5560      0.8300     0.7147     68.8441   0.0000
08400     0.7002      0.8000     0.6753     69.6142   0.0000
08500     0.7526      0.7600     0.6949     69.8771   0.0000
08600     0.6802      0.8200     0.7310     68.1446   0.0000
08700     0.6029      0.8200     0.7197     70.0107   0.0000
08800     0.4690      0.8500     0.7035     69.8691   0.0000
08900     0.3237      0.9100     0.7014     68.5827   0.0000
09000     0.6128      0.7900     0.6888     70.1769   0.0000
09100     0.6455      0.8200     0.6969     68.2446   0.0000
09200     0.5249      0.8100     0.6933     69.8658   0.0000
09300     0.5230      0.8100     0.6978     70.1794   0.0000
09400     0.7153      0.7900     0.7417     70.1824   0.0000
09500     0.5974      0.8300     0.7284     69.3790   0.0000
09600     0.5281      0.8400     0.6927     69.9174   0.0000
09700     0.6800      0.7800     0.6843     70.3770   0.0000
09800     0.5599      0.8300     0.7015     69.4799   0.0000
09900     0.5071      0.8400     0.7128     68.2374   0.0000
10000     0.4754      0.8600     0.6903     68.4776   0.0000
10100     0.6863      0.7500     0.7128     67.7951   0.0000
10200     0.6934      0.7700     0.7116     68.9154   0.0000
10300     0.4984      0.8600     0.7039     68.3135   0.0000
10400     0.6280      0.8400     0.7190     69.0874   0.0000
10500     0.4944      0.8500     0.7237     69.8208   0.0000
10600     0.5347      0.8300     0.7033     68.9844   0.0000
10700     0.6290      0.7600     0.7081     69.4014   0.0000
10800     0.4351      0.8500     0.7056     68.0900   0.0000
10900     0.4883      0.8600     0.7128     68.4039   0.0000
11000     0.4559      0.8200     0.7168     69.7933   0.0000
11100     0.4896      0.8700     0.7154     68.4775   0.0000
11200     0.4851      0.8300     0.7193     67.7795   0.0000
11300     0.4727      0.8800     0.7146     68.4420   0.0000
11400     0.5421      0.8100     0.7243     68.8656   0.0000
11500     0.5803      0.8000     0.7348     69.2283   0.0000
11600     0.5838      0.8400     0.7321     69.1895   0.0000
11700     0.6329      0.8300     0.7207     69.5508   0.0000
11800     0.6183      0.7800     0.7305     68.8749   0.0000
11900     0.5300      0.8500     0.7207     69.2183   0.0000
12000     0.4260      0.8700     0.7345     69.1100   0.0000
12100     0.5292      0.8500     0.7206     67.8889   0.0000
12200     0.5155      0.8200     0.7209     69.3690   0.0000
12300     0.5893      0.7900     0.7149     69.7606   0.0000
12400     0.7528      0.7800     0.7229     70.8582   0.0000
12500     0.4952      0.8500     0.7239     69.1067   0.0000
12600     0.4079      0.8900     0.7181     69.6444   0.0000
12700     0.4894      0.8100     0.7122     69.5676   0.0000
12800     0.4234      0.8800     0.7288     69.3706   0.0000
12900     0.5768      0.8600     0.7101     68.5040   0.0000
13000     0.6490      0.8100     0.7245     68.3121   0.0000
13100     0.5158      0.8300     0.7204     68.4473   0.0000
13200     0.3951      0.8800     0.7090     68.2064   0.0000
13300     0.3346      0.8900     0.7470     68.8941   0.0000
13400     0.5368      0.8300     0.7229     69.4832   0.0000
13500     0.4521      0.9000     0.7473     69.3139   0.0000
13600     0.8864      0.7300     0.7316     68.4750   0.0000
