Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.25, noise_injectionT=0.25, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
1aced822-c744-4f90-98eb-dc871b8215a1
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.4456      0.0400     0.0771     13.9746   0.4331
00100     2.0835      0.3500     0.1604     52.3613   0.2706
00200     1.5323      0.5000     0.2297     52.3535   0.1574
00300     1.6192      0.5100     0.2395     51.8652   0.0907
00400     1.2226      0.5600     0.2948     52.7142   0.0505
00500     1.3937      0.5400     0.3535     52.3847   0.0232
00600     1.1392      0.6200     0.3461     53.5419   0.0034
00700     0.8428      0.7100     0.3641     51.9609   0.0001
00800     0.7608      0.7500     0.4042     52.6754   0.0000
00900     1.0125      0.6300     0.4112     52.7560   0.0000
01000     1.0981      0.6000     0.4178     51.7465   0.0000
01100     1.0358      0.7000     0.4435     52.3222   0.0000
01200     0.9331      0.7200     0.4427     52.1305   0.0000
01300     0.8620      0.7400     0.4359     52.9063   0.0000
01400     0.7065      0.7900     0.4646     51.9529   0.0000
01500     0.8099      0.7400     0.4986     53.3119   0.0000
01600     0.7309      0.7700     0.4765     51.8720   0.0000
01700     0.9070      0.6400     0.4533     52.2114   0.0000
01800     0.9999      0.6300     0.4981     52.1650   0.0000
01900     0.9988      0.6900     0.5423     52.8167   0.0000
02000     0.9928      0.6900     0.5083     52.6594   0.0000
02100     0.8399      0.7400     0.5058     52.5637   0.0000
02200     0.8641      0.6800     0.5072     53.4297   0.0000
02300     0.7795      0.8100     0.5274     52.2401   0.0001
02400     0.7505      0.7800     0.5195     52.4170   0.0000
02500     0.7806      0.7200     0.4935     52.5292   0.0000
02600     0.8226      0.6800     0.5114     52.4062   0.0000
02700     0.7367      0.7500     0.5217     52.7932   0.0000
02800     0.6696      0.7900     0.5268     52.7200   0.0000
02900     0.8474      0.7100     0.5239     53.2133   0.0000
03000     0.6560      0.8200     0.5365     52.0762   0.0000
03100     0.7626      0.7700     0.5217     51.9894   0.0000
03200     0.8512      0.7000     0.5402     52.4130   0.0000
03300     0.8665      0.7400     0.5265     53.1343   0.0000
03400     0.9082      0.7100     0.5044     52.1769   0.0000
03500     0.6800      0.7600     0.5328     52.4898   0.0000
03600     0.7712      0.7500     0.5521     52.5162   0.0000
03700     0.7004      0.7600     0.5234     53.8052   0.0000
03800     0.6985      0.7700     0.5393     54.6483   0.0000
03900     0.7151      0.7800     0.5705     53.4693   0.0000
04000     0.8477      0.7100     0.5505     54.7326   0.0000
04100     0.8027      0.7600     0.5271     54.2126   0.0000
04200     0.7753      0.7600     0.5433     53.7263   0.0000
04300     0.6286      0.8000     0.5782     52.8143   0.0000
04400     0.5337      0.8600     0.5567     55.6247   0.0000
04500     0.6583      0.8300     0.5621     53.1190   0.0000
04600     0.8912      0.7000     0.5804     52.8181   0.0000
04700     0.6767      0.7700     0.5775     51.4785   0.0000
04800     0.6517      0.7500     0.5734     52.2557   0.0000
04900     0.6996      0.7600     0.5697     51.8788   0.0000
05000     0.7917      0.7800     0.6069     54.2169   0.0000
05100     0.5162      0.8300     0.5784     52.8818   0.0000
05200     0.7063      0.7700     0.5808     51.9108   0.0000
05300     0.6572      0.7800     0.5702     52.6207   0.0000
05400     0.7563      0.7600     0.5780     52.6824   0.0000
05500     0.7888      0.7900     0.5860     52.2266   0.0000
05600     0.9270      0.7100     0.6075     52.4474   0.0000
05700     0.6963      0.7900     0.5950     52.4242   0.0000
05800     0.7788      0.7700     0.5839     52.2918   0.0000
05900     0.5587      0.8500     0.5937     52.3214   0.0000
06000     0.5397      0.8400     0.5711     52.3171   0.0000
06100     0.6280      0.7800     0.5974     52.3400   0.0000
06200     0.6950      0.7800     0.5638     52.4538   0.0000
06300     0.6249      0.7900     0.6119     52.0677   0.0000
06400     0.5856      0.7800     0.5963     52.3028   0.0000
06500     0.7859      0.7200     0.6005     52.1096   0.0000
06600     0.5211      0.8800     0.5929     52.7722   0.0000
06700     0.5485      0.8700     0.5829     55.0737   0.0000
06800     0.7149      0.8000     0.6098     52.1950   0.0000
06900     0.5516      0.8300     0.6124     53.3436   0.0000
07000     0.8006      0.7500     0.5872     54.6318   0.0000
07100     0.5723      0.8200     0.6205     54.0793   0.0000
07200     0.6958      0.7800     0.6141     52.4119   0.0000
07300     0.4578      0.8600     0.6319     53.6373   0.0000
07400     0.8349      0.7600     0.6295     54.0197   0.0000
07500     0.7368      0.7400     0.5899     52.7981   0.0000
07600     0.6322      0.8000     0.6113     52.7536   0.0000
07700     0.6899      0.8100     0.6213     52.3900   0.0000
07800     0.5985      0.8600     0.6260     51.9012   0.0000
07900     0.5439      0.8300     0.6101     51.9847   0.0000
08000     0.6157      0.8100     0.6253     55.1677   0.0000
08100     0.6617      0.7600     0.6306     53.8696   0.0000
08200     0.6875      0.8000     0.6133     53.6984   0.0000
08300     0.5814      0.8400     0.6105     52.4661   0.0000
08400     0.5804      0.8500     0.6524     51.9628   0.0000
08500     0.6427      0.7500     0.6136     52.2882   0.0000
08600     0.4069      0.8900     0.6123     52.2771   0.0000
08700     0.5348      0.8500     0.6082     52.3226   0.0000
08800     0.7001      0.7800     0.6164     52.5230   0.0000
08900     0.6305      0.7700     0.6294     51.7851   0.0000
09000     0.8195      0.7500     0.6200     52.6525   0.0000
09100     0.5036      0.8300     0.6257     52.2492   0.0000
09200     0.5096      0.8600     0.6315     53.4159   0.0000
09300     0.7079      0.7800     0.6481     51.5535   0.0000
09400     0.6342      0.7800     0.6533     52.5433   0.0000
09500     0.4871      0.8500     0.6387     55.8473   0.0000
09600     0.5745      0.8200     0.6524     52.9691   0.0000
09700     0.5613      0.8100     0.6390     53.2648   0.0000
09800     0.6119      0.8000     0.6339     52.5398   0.0000
09900     0.8053      0.7800     0.6315     52.6037   0.0000
10000     0.5591      0.7900     0.6229     52.8058   0.0000
10100     0.4983      0.8600     0.6371     52.3917   0.0000
10200     0.5332      0.8200     0.6347     53.5942   0.0000
10300     0.4376      0.8300     0.6455     52.3115   0.0000
10400     0.5376      0.8300     0.6524     52.9396   0.0000
10500     0.2902      0.9300     0.6436     54.3003   0.0000
10600     0.6256      0.7700     0.6408     54.4166   0.0000
10700     0.5792      0.8400     0.6486     53.5831   0.0000
10800     0.4014      0.8800     0.6437     52.9631   0.0000
10900     0.4467      0.8700     0.6478     52.2474   0.0000
11000     0.4723      0.8300     0.6408     52.8601   0.0000
11100     0.6036      0.8200     0.6350     52.9058   0.0000
11200     0.5455      0.8600     0.6559     52.6319   0.0000
11300     0.6502      0.7700     0.6387     52.8127   0.0000
11400     0.6948      0.7600     0.6302     52.1607   0.0000
11500     0.4493      0.8500     0.6424     52.1894   0.0000
11600     0.5339      0.8100     0.6443     51.8097   0.0000
11700     0.6414      0.7900     0.6357     52.9013   0.0000
11800     0.5651      0.8300     0.6391     53.2526   0.0000
11900     0.3987      0.8900     0.6564     52.6153   0.0000
12000     0.5796      0.8100     0.6518     53.5291   0.0000
12100     0.5822      0.8300     0.6459     53.0233   0.0000
12200     0.6309      0.7900     0.6375     54.3856   0.0000
12300     0.5028      0.8500     0.6414     52.8462   0.0000
12400     0.5566      0.7900     0.6410     52.6488   0.0000
12500     0.4939      0.8300     0.6482     53.4043   0.0000
12600     0.5029      0.8200     0.6319     53.1242   0.0000
12700     0.5639      0.8300     0.6481     52.7436   0.0000
12800     0.5873      0.8100     0.6296     52.7381   0.0000
12900     0.5246      0.8500     0.6516     54.3963   0.0000
13000     0.4925      0.8500     0.6458     52.3541   0.0000
13100     0.5824      0.8200     0.6497     54.2530   0.0000
13200     0.6500      0.8300     0.6380     53.8817   0.0000
13300     0.4914      0.8700     0.6431     54.3712   0.0000
13400     0.5401      0.8300     0.6435     54.0975   0.0000
13500     0.5025      0.8700     0.6442     53.0727   0.0000
13600     0.5089      0.8500     0.6524     53.5767   0.0000
13700     0.5633      0.8000     0.6485     54.5864   0.0000
13800     0.3652      0.8800     0.6224     52.6004   0.0000
13900     0.5022      0.9000     0.6446     53.7000   0.0000
14000     0.4594      0.8100     0.6515     53.1159   0.0000
14100     0.5883      0.7800     0.6513     52.0007   0.0000
14200     0.5259      0.8400     0.6574     54.5290   0.0000
14300     0.5331      0.8600     0.6505     54.1655   0.0000
14400     0.3982      0.8900     0.6387     52.9714   0.0000
14500     0.5307      0.8700     0.6341     52.7959   0.0000
14600     0.5232      0.8300     0.6361     52.7226   0.0000
14700     0.6459      0.7500     0.6431     51.8357   0.0000
14800     0.4626      0.8700     0.6636     52.2782   0.0000
14900     0.5215      0.8500     0.6420     51.7197   0.0000
15000     0.4935      0.8500     0.6306     52.8368   0.0000
15100     0.4106      0.8900     0.6343     52.6203   0.0000
15200     0.3596      0.9100     0.6283     52.7139   0.0000
15300     0.5555      0.8500     0.6447     52.8016   0.0000
15400     0.5041      0.8400     0.6396     52.3056   0.0000
15500     0.6107      0.8100     0.6488     52.1575   0.0000
15600     0.5321      0.8200     0.6500     52.7271   0.0000
15700     0.4048      0.8900     0.6498     53.4471   0.0000
15800     0.4707      0.8700     0.6359     53.0373   0.0000
15900     0.5695      0.8500     0.6445     52.2043   0.0000
16000     0.5530      0.8300     0.6416     52.1620   0.0000
16100     0.5265      0.7900     0.6458     52.1621   0.0000
16200     0.6159      0.8200     0.6338     53.1780   0.0000
16300     0.6421      0.7700     0.6489     52.2291   0.0000
16400     0.5377      0.8500     0.6369     54.1776   0.0000
16500     0.5684      0.8300     0.6501     54.6948   0.0000
