Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.15, noise_injectionT=0.15, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
f8f06ea9-0777-4fcc-8af0-cfb9ffcd6239
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0691     14.6331   0.4322
00100     2.0219      0.3000     0.2736     55.8159   0.2684
00200     1.7659      0.4700     0.4020     55.7648   0.1575
00300     1.3122      0.5700     0.4909     56.9522   0.0923
00400     1.3246      0.5700     0.5350     55.1872   0.0510
00500     0.9232      0.6900     0.5937     55.8366   0.0228
00600     0.9690      0.7200     0.6244     55.0775   0.0021
00700     0.9786      0.7100     0.6181     51.8991   0.0000
00800     0.8860      0.7300     0.6653     54.7683   0.0000
00900     0.7883      0.7700     0.6605     52.6632   0.0000
01000     0.9545      0.7100     0.6898     51.9433   0.0000
01100     0.8838      0.6600     0.6479     52.2183   0.0000
01200     0.9678      0.6700     0.6808     52.5483   0.0000
01300     0.8210      0.7500     0.6836     52.8817   0.0000
01400     0.7779      0.7400     0.6718     55.3479   0.0000
01500     0.9068      0.7000     0.6933     55.1920   0.0000
01600     0.6894      0.7600     0.7036     54.3661   0.0000
01700     1.1811      0.6100     0.6978     52.2691   0.0000
01800     0.8005      0.7000     0.7388     52.9058   0.0000
01900     1.1067      0.6200     0.7239     52.2302   0.0000
02000     0.8082      0.7200     0.7248     52.8241   0.0000
02100     0.9987      0.7000     0.6977     52.5514   0.0000
02200     1.1555      0.6300     0.6544     56.6453   0.0000
02300     0.7406      0.7800     0.7406     52.2631   0.0000
02400     0.7738      0.7300     0.7013     53.5494   0.0000
02500     0.8751      0.7000     0.7582     53.2702   0.0000
02600     0.8235      0.7300     0.7230     55.0182   0.0000
02700     0.7619      0.7100     0.7455     53.0094   0.0000
02800     0.8112      0.7100     0.7093     51.7580   0.0000
02900     0.9509      0.6900     0.7137     52.5684   0.0000
03000     0.7429      0.7700     0.6853     54.6080   0.0000
03100     0.9100      0.7200     0.7368     57.8879   0.0000
03200     0.7929      0.7500     0.7278     51.9721   0.0000
03300     0.6542      0.7600     0.7614     53.1886   0.0000
03400     0.7900      0.7900     0.6887     57.1538   0.0000
03500     0.7188      0.7400     0.7567     56.9305   0.0000
03600     0.8243      0.7400     0.7337     55.8464   0.0000
03700     0.7888      0.7400     0.6987     52.3361   0.0000
03800     0.8228      0.7100     0.7868     55.4020   0.0000
03900     0.7176      0.7900     0.7191     56.4220   0.0000
04000     0.7569      0.7300     0.7667     53.1860   0.0000
04100     0.6072      0.8500     0.7188     52.1176   0.0000
04200     0.8897      0.7200     0.7722     55.4182   0.0000
04300     0.6192      0.8400     0.7584     52.0357   0.0000
04400     0.6306      0.7900     0.7122     53.5633   0.0000
04500     0.5943      0.8100     0.7158     52.2841   0.0000
04600     0.8616      0.7000     0.7684     52.3574   0.0000
04700     0.7691      0.7700     0.7836     53.5419   0.0000
04800     0.7120      0.7800     0.7340     55.4983   0.0000
04900     0.6645      0.8000     0.7270     51.9915   0.0000
05000     0.8077      0.7600     0.7362     55.7652   0.0000
05100     0.7663      0.7700     0.7089     57.7442   0.0000
05200     0.7466      0.7700     0.7281     57.3214   0.0000
05300     0.7583      0.7400     0.7452     53.9358   0.0000
05400     0.4795      0.8300     0.7865     55.2938   0.0000
05500     0.6901      0.7900     0.7045     51.5711   0.0000
05600     0.7654      0.7800     0.6890     52.4203   0.0000
05700     0.5688      0.8100     0.7166     52.0789   0.0000
05800     0.7796      0.8000     0.6939     55.3205   0.0000
05900     0.6774      0.7700     0.7329     52.1500   0.0001
06000     0.7268      0.7500     0.7584     56.5757   0.0000
06100     0.6204      0.7900     0.7616     52.1832   0.0000
06200     0.7284      0.7900     0.7727     52.6402   0.0000
06300     0.5108      0.8300     0.7717     52.1077   0.0000
06400     0.6930      0.7700     0.7550     51.7082   0.0000
06500     0.7363      0.7600     0.7531     52.3402   0.0000
06600     0.9983      0.7400     0.7797     54.1676   0.0000
06700     0.5533      0.8300     0.7928     53.5651   0.0000
06800     0.7293      0.7400     0.7429     52.4640   0.0000
06900     0.5188      0.8900     0.7319     55.4525   0.0000
07000     0.5794      0.8100     0.7211     56.3966   0.0000
07100     0.8408      0.7500     0.7490     55.7976   0.0000
07200     0.6488      0.8300     0.7060     53.7930   0.0000
07300     0.5437      0.8300     0.7128     52.3374   0.0000
07400     0.5315      0.8100     0.7688     52.6534   0.0000
07500     0.5361      0.8100     0.8031     55.9181   0.0000
07600     0.7640      0.7600     0.7150     54.9170   0.0000
07700     0.6854      0.7900     0.7615     56.4203   0.0000
07800     0.6523      0.8100     0.7325     52.5890   0.0000
07900     0.5479      0.8000     0.7315     55.3730   0.0000
08000     0.7347      0.7500     0.7665     51.8997   0.0000
08100     0.4942      0.8600     0.7502     52.1370   0.0000
08200     0.4703      0.8500     0.7267     52.2764   0.0000
08300     0.5560      0.8300     0.7940     51.6118   0.0000
08400     0.7002      0.8000     0.7309     56.1533   0.0000
08500     0.7526      0.7600     0.7874     53.6553   0.0000
08600     0.6802      0.8200     0.8010     52.3543   0.0000
08700     0.6029      0.8200     0.7899     51.8383   0.0000
08800     0.4690      0.8500     0.7844     56.5529   0.0000
08900     0.3237      0.9100     0.7408     56.6000   0.0000
09000     0.6128      0.7900     0.7214     57.2107   0.0000
09100     0.6455      0.8200     0.7230     52.1863   0.0000
09200     0.5249      0.8100     0.7671     54.5107   0.0000
09300     0.5230      0.8100     0.7447     53.7703   0.0000
09400     0.7153      0.7900     0.8229     54.0402   0.0000
09500     0.5974      0.8300     0.8160     51.8272   0.0000
09600     0.5281      0.8400     0.7507     54.4018   0.0000
