Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Unmatched ".
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.2, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.3, noise_injectionT=0.3, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=1.2000000000000002, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
549ab9d9-46ed-4498-bcda-34309c61aecf
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.5508      0.0600     0.0817     16.7684   0.4322
00100     2.0219      0.3000     0.1322     70.9257   0.2684
00200     1.7659      0.4700     0.1682     72.1337   0.1575
00300     1.3122      0.5700     0.2165     71.2817   0.0923
00400     1.3246      0.5700     0.2506     72.4128   0.0510
00500     0.9232      0.6900     0.2916     73.5065   0.0228
00600     0.9690      0.7200     0.2666     72.3164   0.0021
00700     0.9786      0.7100     0.3012     71.8109   0.0000
00800     0.8860      0.7300     0.3159     71.4826   0.0000
00900     0.7883      0.7700     0.3033     72.3811   0.0000
01000     0.9545      0.7100     0.3548     72.4165   0.0000
01100     0.8838      0.6600     0.3300     66.2880   0.0000
01200     0.9678      0.6700     0.3519     66.6674   0.0000
01300     0.8210      0.7500     0.3695     67.3455   0.0000
01400     0.7779      0.7400     0.3263     66.7079   0.0000
01500     0.9068      0.7000     0.3575     67.1516   0.0000
01600     0.6894      0.7600     0.3769     68.3541   0.0000
01700     1.1811      0.6100     0.3951     67.5141   0.0000
01800     0.8005      0.7000     0.4157     66.9059   0.0000
01900     1.1067      0.6200     0.3834     68.7856   0.0000
02000     0.8082      0.7200     0.3778     68.0517   0.0000
02100     0.9987      0.7000     0.4019     69.6662   0.0000
02200     1.1555      0.6300     0.3983     70.6432   0.0000
02300     0.7406      0.7800     0.4156     68.9522   0.0000
02400     0.7738      0.7300     0.4259     67.2501   0.0000
02500     0.8751      0.7000     0.4373     69.3505   0.0000
02600     0.8235      0.7300     0.4652     71.4749   0.0000
02700     0.7619      0.7100     0.4351     72.8809   0.0000
02800     0.8112      0.7100     0.4116     71.1958   0.0000
02900     0.9509      0.6900     0.4295     72.8531   0.0000
03000     0.7429      0.7700     0.4440     70.7806   0.0000
03100     0.9100      0.7200     0.4814     71.6487   0.0000
03200     0.7929      0.7500     0.4992     71.8131   0.0000
03300     0.6542      0.7600     0.4615     71.7633   0.0000
03400     0.7900      0.7900     0.4625     71.7575   0.0000
03500     0.7188      0.7400     0.4933     71.5565   0.0000
03600     0.8243      0.7400     0.4834     71.1755   0.0000
03700     0.7888      0.7400     0.4327     70.8838   0.0000
03800     0.8228      0.7100     0.4584     71.9687   0.0000
03900     0.7176      0.7900     0.4684     70.7094   0.0000
04000     0.7569      0.7300     0.4844     71.1694   0.0000
04100     0.6072      0.8500     0.4684     71.7416   0.0000
04200     0.8897      0.7200     0.4573     70.8760   0.0000
04300     0.6192      0.8400     0.4662     71.2777   0.0000
04400     0.6306      0.7900     0.4608     72.0551   0.0000
04500     0.5943      0.8100     0.4376     70.9509   0.0000
04600     0.8616      0.7000     0.4481     72.1680   0.0000
04700     0.7691      0.7700     0.4880     72.0922   0.0000
04800     0.7120      0.7800     0.5063     72.0553   0.0000
04900     0.6645      0.8000     0.4823     73.3678   0.0000
05000     0.8077      0.7600     0.5105     71.3983   0.0000
05100     0.7663      0.7700     0.5099     70.9146   0.0000
05200     0.7466      0.7700     0.5133     72.7658   0.0000
05300     0.7583      0.7400     0.5126     72.2693   0.0000
05400     0.4795      0.8300     0.5180     71.2323   0.0000
05500     0.6901      0.7900     0.4882     72.0713   0.0000
05600     0.7654      0.7800     0.5121     71.2073   0.0000
05700     0.5688      0.8100     0.5154     71.0539   0.0000
05800     0.7796      0.8000     0.4917     72.1103   0.0000
05900     0.6774      0.7700     0.5148     71.6238   0.0001
06000     0.7268      0.7500     0.5010     71.7565   0.0000
06100     0.6204      0.7900     0.5164     71.7750   0.0000
06200     0.7284      0.7900     0.4968     71.3271   0.0000
06300     0.5108      0.8300     0.5150     71.7897   0.0000
06400     0.6930      0.7700     0.4901     71.8623   0.0000
06500     0.7363      0.7600     0.5543     71.5117   0.0000
06600     0.9983      0.7400     0.5098     71.6354   0.0000
06700     0.5533      0.8300     0.5084     72.0051   0.0000
06800     0.7293      0.7400     0.5428     71.2945   0.0000
06900     0.5188      0.8900     0.5424     72.0774   0.0000
07000     0.5794      0.8100     0.5371     71.4208   0.0000
07100     0.8408      0.7500     0.5212     71.3733   0.0000
07200     0.6488      0.8300     0.5320     71.2210   0.0000
07300     0.5437      0.8300     0.4939     71.5487   0.0000
07400     0.5315      0.8100     0.5131     71.8468   0.0000
07500     0.5361      0.8100     0.5502     71.8584   0.0000
07600     0.7640      0.7600     0.5110     72.3493   0.0000
07700     0.6854      0.7900     0.5587     71.6718   0.0000
07800     0.6523      0.8100     0.5344     70.8129   0.0000
07900     0.5479      0.8000     0.5841     72.4892   0.0000
08000     0.7347      0.7500     0.5317     72.1983   0.0000
08100     0.4942      0.8600     0.5502     71.5005   0.0000
08200     0.4703      0.8500     0.5685     71.4707   0.0000
08300     0.5560      0.8300     0.5600     73.0890   0.0000
08400     0.7002      0.8000     0.5372     72.3436   0.0000
08500     0.7526      0.7600     0.5543     71.0886   0.0000
08600     0.6802      0.8200     0.5576     71.6578   0.0000
08700     0.6029      0.8200     0.5324     72.2283   0.0000
08800     0.4690      0.8500     0.5479     71.5879   0.0000
08900     0.3237      0.9100     0.5500     72.0727   0.0000
09000     0.6128      0.7900     0.5620     71.1063   0.0000
09100     0.6455      0.8200     0.5464     72.3184   0.0000
09200     0.5249      0.8100     0.5478     72.3012   0.0000
09300     0.5230      0.8100     0.5333     71.6119   0.0000
09400     0.7153      0.7900     0.5558     71.8083   0.0000
09500     0.5974      0.8300     0.5642     71.9026   0.0000
09600     0.5281      0.8400     0.5785     72.4031   0.0000
09700     0.6800      0.7800     0.5471     71.5936   0.0000
09800     0.5599      0.8300     0.5708     71.3953   0.0000
09900     0.5071      0.8400     0.5829     71.2876   0.0000
10000     0.4754      0.8600     0.5591     71.4821   0.0000
10100     0.6863      0.7500     0.5643     71.7145   0.0000
10200     0.6934      0.7700     0.5705     71.5601   0.0000
10300     0.4984      0.8600     0.5800     72.0775   0.0000
10400     0.6280      0.8400     0.5796     71.8065   0.0000
10500     0.4944      0.8500     0.5713     71.0570   0.0000
10600     0.5347      0.8300     0.5840     71.2907   0.0000
